14,36,12872.75,12873.75,12866,12870.75,1068,12870.75000000
14,37,12871.25,12871.5,12864.75,12869.5,427,12870.52272727
14,38,12869.25,12871.75,12867.5,12871.25,414,12870.65495868
14,39,12871,12873.75,12869.5,12872.75,333,12871.03587528
14,40,12872.75,12873.75,12867.75,12870.5,378,12870.93844341
14,41,12870.25,12872.25,12864.5,12865.75,601,12869.99509006
14,42,12866,12870.75,12866,12870.25,374,12870.04143733
14,43,12869.5,12883,12869.5,12877.25,1369,12871.35208508
14,44,12877.75,12878.25,12866.25,12868.75,1047,12870.87897871
14,45,12869.25,12870.75,12861,12867.5,881,12870.26461894
14,46,12867.25,12872,12865.5,12866,533,12869.48923368
14,47,12866,12870.5,12863.25,12868.25,446,12869.26391846
14,48,12868.5,12873.75,12867,12873,407,12869.94320602
14,49,12873,12873.25,12866.5,12868.5,368,12869.68080492
14,50,12868.25,12872.5,12866.5,12872,363,12870.10247675
14,51,12871.75,12877,12871.25,12874,450,12870.81111734
14,52,12874.5,12875.25,12866.5,12868.75,879,12870.43636874
14,53,12868.5,12871,12865,12870.5,452,12870.44793806
14,54,12870.25,12881.5,12869.5,12878,812,12871.82104023
14,55,12878.75,12881,12873,12874.5,463,12872.30812382
14,56,12874.75,12880.5,12866.25,12870,1317,12871.88846495
14,57,12869.5,12877.5,12869,12876,580,12872.63601677
14,58,12876,12878.25,12874.5,12877.75,357,12873.56583191
14,59,12878,12896.25,12877,12895,2297,12877.46295338
15,0,12894.75,12899,12888.5,12893.75,2107,12880.42423458
15,1,12893.75,12895,12887.75,12887.75,762,12881.75619193
15,2,12888,12891.25,12883.25,12886,1034,12882.52779340
15,3,12886.25,12886.5,12881.25,12883.75,518,12882.75001278
15,4,12884,12893.5,12884,12892.25,560,12884.47728318
15,5,12892.5,12900.5,12888.5,12896.75,1139,12886.70868624
15,6,12897,12897.25,12892.25,12895,485,12888.21619783
15,7,12894.5,12897.5,12892.5,12897.5,353,12889.90416186
15,8,12897.5,12898.5,12895,12897.5,387,12891.28522334
15,9,12898,12902.25,12896.5,12898.25,550,12892.55154637
15,10,12898,12900.75,12893.5,12893.5,458,12892.72399249
15,11,12893.75,12897,12890.75,12893.75,631,12892.91053931
15,12,12894,12896.75,12889.25,12893.25,667,12892.97225943
