15,46,12882.5,12884.75,12878.75,12884,12900.03958,12888.32083,12876.60208
15,47,12883.25,12889.25,12880,12885.5,12900.29792,12888.42917,12876.56042
15,48,12885.25,12885.75,12879.25,12880.75,12900.17083,12888.28333,12876.39583
15,49,12881,12884.75,12873.25,12875.25,12900.36042,12887.89167,12875.42292
15,50,12875.25,12875.5,12851.5,12852,12900.18125,12886.4,12872.61875
15,51,12852,12862,12849.75,12860.5,12899.06875,12884.725,12870.38125
15,52,12860.5,12863.5,12858.5,12862,12897.025,12883.075,12869.125
15,53,12862,12866.5,12862,12863.25,12895.32083,12881.55833,12867.79583
15,54,12863,12864.75,12841,12845.5,12894.61042,12879.55417,12864.49792
15,55,12845.25,12848,12829.25,12831.25,12892.24792,12876.55417,12860.86042
15,56,12831.5,12837.5,12828.75,12836.25,12888.92292,12873.45417,12857.98542
15,57,12836.25,12840.25,12832.75,12833.5,12886.19583,12870.74583,12855.29583
15,58,12833,12843,12830.5,12842.25,12884.02917,12868.39167,12852.75417
15,59,12842.5,12889.5,12841.25,12888,12885.99792,12867.67917,12849.36042
16,0,12887.75,12890.5,12873.5,12876.5,12886.37292,12867.26667,12848.16042
16,1,12876.25,12886,12875.75,12878.25,12886.22917,12866.87917,12847.52917
16,2,12878,12883.25,12871.75,12871.75,12885.75208,12866.04583,12846.33958
16,3,12872.25,12878,12871.25,12874.25,12884.78125,12865.45,12846.11875
16,4,12874.75,12878,12874.25,12876.5,12884.30208,12865.27083,12846.23958
16,5,12876,12877.75,12875.25,12876.75,12883.78125,12865.0125,12846.24375
16,6,12876.25,12876.75,12872.5,12873.5,12883.2375,12864.6,12845.9625
16,7,12873.25,12873.5,12870,12871.5,12882.14375,12863.9375,12845.73125
16,8,12871.25,12875.75,12870,12873.25,12881.64167,12863.49167,12845.34167
16,9,12873.25,12874.5,12873,12874,12880.69583,12863.29583,12845.89583
16,10,12874,12875,12872,12874.5,12879.82917,12864.00417,12848.17917
16,11,12875,12876.75,12874.25,12876.75,12880.02292,12864.92917,12849.83542
16,12,12876.75,12877.75,12875.5,12877.5,12880.59583,12865.70833,12850.82083
16,13,12877,12884.75,12877,12884.25,12881.74375,12866.6125,12851.48125
16,14,12884.25,12884.25,12879.75,12882,12881.87917,12868.19167,12854.50417
